"Gene","Variant","OR","95% CI","Carrier cases","p","BFDP","BFDP verdict","BH/FDR"
"ATM","truncating",3.99,"2.13-7.02",18,6e-05,0,"noteworthy (<0.05)","BH-sig"
"CHEK2","truncating",2.66,"1.51-4.42",40,0.0011,0.01,"noteworthy (<0.05)","BH-sig"
"CHEK2","missense",2.01,"1.29-3.00",36,0.003,0.028,"noteworthy (<0.05)","BH-sig"
"BRCA2","truncating",2.82,"1.43-5.17",14,0.0041,0.035,"noteworthy (<0.05)","BH-sig"
"TP53","missense",3.65,"1.51-7.76",9,0.006,0.046,"noteworthy (<0.05)","BH-sig"
"BARD1","missense",2.23,"1.09-4.14",NA,0.03,0.197,"not noteworthy","BH-ns"
"PALB2","missense",2.07,"1.08-3.64",NA,0.03,0.203,"not noteworthy","BH-ns"
"PALB2","truncating",2.45,"0.73-6.75",6,0.14,0.431,"not noteworthy","BH-ns"
"TP53","truncating",5.88,"0.55-39.31",1,0.12,0.437,"not noteworthy (<=1 carrier)","BH-ns"
"BRCA1","truncating",2.49,"0.66-6.89",3,0.16,0.443,"not noteworthy","BH-ns"
"RAD51C","truncating",2.83,"0.30-12.34",1,0.3,0.505,"not noteworthy (<=1 carrier)","BH-ns"
"RAD51D","truncating",1.29,"0.01-10.73",0,0.87,0.524,"not noteworthy (<=1 carrier)","BH-ns"
"BARD1","truncating",0.73,"0.01-6.54",1,0.85,0.527,"not noteworthy (<=1 carrier)","BH-ns"
